episode_id,failure_mode,elapsed_s,preliminary_severity,forecast_confidence,time_to_failure,earliest_ttf_feature,impact_band,urgency_band,gate_passed,candidate_severity,revised_severity,is_escalated,is_deescalated,dwell_count,reason
ep_00001_CACHE_STAMPEDE,CACHE_STAMPEDE,238.0,P4,1.0,0.0,cache_miss_rate,None,Imminent,True,P2,P2,False,False,0,"Impact=None (P4), Urgency=Imminent (ttf=0.0s, conf=1.00, gate=PASS) -> candidate=P2, revised=P2"
ep_00003_DISK_IO_SATURATION,DISK_IO_SATURATION,238.0,P4,1.0,33636.57,disk_read_latency,None,Distant,True,P4,P4,False,False,0,"Impact=None (P4), Urgency=Distant (ttf=33636.57s, conf=1.00, gate=PASS) -> candidate=P4, revised=P4"
ep_00004_LATENCY_SPIKE,LATENCY_SPIKE,238.0,P4,0.4082,43346.96,p95_latency,None,Distant,False,P4,P4,False,False,0,"Impact=None (P4), Urgency=Distant (ttf=43346.96s, conf=0.41, gate=FAIL) -> candidate=P4, revised=P4"
ep_00005_ERROR_STORM,ERROR_STORM,238.0,P4,0.9253,363.7,error_rate,None,Distant,True,P4,P4,False,False,0,"Impact=None (P4), Urgency=Distant (ttf=363.7s, conf=0.93, gate=PASS) -> candidate=P4, revised=P4"
ep_00006_MEMORY_LEAK,MEMORY_LEAK,238.0,P4,1.0,5190.83,memory_utilization,None,Distant,True,P4,P4,False,False,0,"Impact=None (P4), Urgency=Distant (ttf=5190.83s, conf=1.00, gate=PASS) -> candidate=P4, revised=P4"
ep_00007_CASCADING_FAILURE,CASCADING_FAILURE,238.0,P4,1.0,0.0,p99_latency,None,Imminent,True,P2,P2,False,False,0,"Impact=None (P4), Urgency=Imminent (ttf=0.0s, conf=1.00, gate=PASS) -> candidate=P2, revised=P2"
ep_00008_LATENCY_SPIKE,LATENCY_SPIKE,238.0,P4,0.4243,,,None,Distant,False,P4,P4,False,False,0,"Impact=None (P4), Urgency=Distant (ttf=nans, conf=0.42, gate=FAIL) -> candidate=P4, revised=P4"
ep_00009_BAD_DEPLOY,BAD_DEPLOY,238.0,P4,0.8948,,,None,Distant,True,P4,P4,False,False,0,"Impact=None (P4), Urgency=Distant (ttf=nans, conf=0.89, gate=PASS) -> candidate=P4, revised=P4"
ep_00010_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,238.0,P4,1.0,51.51,upstream_timeout_rate,None,Near,True,P3,P3,False,False,0,"Impact=None (P4), Urgency=Near (ttf=51.51s, conf=1.00, gate=PASS) -> candidate=P3, revised=P3"
ep_00012_RETRY_STORM,RETRY_STORM,238.0,P4,0.9443,0.0,rps,None,Imminent,True,P2,P2,False,False,0,"Impact=None (P4), Urgency=Imminent (ttf=0.0s, conf=0.94, gate=PASS) -> candidate=P2, revised=P2"
ep_00013_BAD_DEPLOY,BAD_DEPLOY,238.0,P4,1.0,3.99,error_rate,None,Imminent,True,P2,P2,False,False,0,"Impact=None (P4), Urgency=Imminent (ttf=3.99s, conf=1.00, gate=PASS) -> candidate=P2, revised=P2"
ep_00015_CASCADING_FAILURE,CASCADING_FAILURE,238.0,P4,1.0,0.0,p99_latency,None,Imminent,True,P2,P2,False,False,0,"Impact=None (P4), Urgency=Imminent (ttf=0.0s, conf=1.00, gate=PASS) -> candidate=P2, revised=P2"
ep_00016_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,238.0,P4,0.9285,86.54,upstream_timeout_rate,None,Near,True,P3,P3,False,False,0,"Impact=None (P4), Urgency=Near (ttf=86.54s, conf=0.93, gate=PASS) -> candidate=P3, revised=P3"
ep_00017_BAD_DEPLOY,BAD_DEPLOY,238.0,P4,0.9566,35.01,error_rate,None,Near,True,P3,P3,False,False,0,"Impact=None (P4), Urgency=Near (ttf=35.01s, conf=0.96, gate=PASS) -> candidate=P3, revised=P3"
ep_00018_RETRY_STORM,RETRY_STORM,238.0,P4,1.0,0.0,rps,None,Imminent,True,P2,P2,False,False,0,"Impact=None (P4), Urgency=Imminent (ttf=0.0s, conf=1.00, gate=PASS) -> candidate=P2, revised=P2"
ep_00019_RETRY_STORM,RETRY_STORM,238.0,P4,1.0,0.0,rps,None,Imminent,True,P2,P2,False,False,0,"Impact=None (P4), Urgency=Imminent (ttf=0.0s, conf=1.00, gate=PASS) -> candidate=P2, revised=P2"
ep_00020_MEMORY_LEAK,MEMORY_LEAK,238.0,P4,1.0,,,None,Distant,True,P4,P4,False,False,0,"Impact=None (P4), Urgency=Distant (ttf=nans, conf=1.00, gate=PASS) -> candidate=P4, revised=P4"
ep_00021_RETRY_STORM,RETRY_STORM,238.0,P4,1.0,0.0,rps,None,Imminent,True,P2,P2,False,False,0,"Impact=None (P4), Urgency=Imminent (ttf=0.0s, conf=1.00, gate=PASS) -> candidate=P2, revised=P2"
ep_00022_RETRY_STORM,RETRY_STORM,238.0,P4,1.0,0.0,rps,None,Imminent,True,P2,P2,False,False,0,"Impact=None (P4), Urgency=Imminent (ttf=0.0s, conf=1.00, gate=PASS) -> candidate=P2, revised=P2"
ep_00023_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,238.0,P4,1.0,0.0,upstream_timeout_rate,None,Imminent,True,P2,P2,False,False,0,"Impact=None (P4), Urgency=Imminent (ttf=0.0s, conf=1.00, gate=PASS) -> candidate=P2, revised=P2"
ep_00024_RETRY_STORM,RETRY_STORM,238.0,P4,1.0,0.0,rps,None,Imminent,True,P2,P2,False,False,0,"Impact=None (P4), Urgency=Imminent (ttf=0.0s, conf=1.00, gate=PASS) -> candidate=P2, revised=P2"
ep_00025_DISK_IO_SATURATION,DISK_IO_SATURATION,238.0,P4,1.0,137.39,queue_lag,None,Distant,True,P4,P4,False,False,0,"Impact=None (P4), Urgency=Distant (ttf=137.39s, conf=1.00, gate=PASS) -> candidate=P4, revised=P4"
ep_00026_CASCADING_FAILURE,CASCADING_FAILURE,238.0,P4,1.0,0.0,error_rate,None,Imminent,True,P2,P2,False,False,0,"Impact=None (P4), Urgency=Imminent (ttf=0.0s, conf=1.00, gate=PASS) -> candidate=P2, revised=P2"
ep_00027_CPU_SATURATION,CPU_SATURATION,238.0,P4,1.0,1126.83,cpu_utilization,None,Distant,True,P4,P4,False,False,0,"Impact=None (P4), Urgency=Distant (ttf=1126.83s, conf=1.00, gate=PASS) -> candidate=P4, revised=P4"
ep_00028_DEPENDENCY_TIMEOUT,DEPENDENCY_TIMEOUT,238.0,P4,0.9809,,,None,Distant,True,P4,P4,False,False,0,"Impact=None (P4), Urgency=Distant (ttf=nans, conf=0.98, gate=PASS) -> candidate=P4, revised=P4"
ep_00029_RETRY_STORM,RETRY_STORM,238.0,P4,1.0,0.0,rps,None,Imminent,True,P2,P2,False,False,0,"Impact=None (P4), Urgency=Imminent (ttf=0.0s, conf=1.00, gate=PASS) -> candidate=P2, revised=P2"
ep_00030_RETRY_STORM,RETRY_STORM,238.0,P4,1.0,0.0,rps,None,Imminent,True,P2,P2,False,False,0,"Impact=None (P4), Urgency=Imminent (ttf=0.0s, conf=1.00, gate=PASS) -> candidate=P2, revised=P2"
ep_00031_DB_SLOWDOWN,DB_SLOWDOWN,238.0,P4,0.9546,0.0,db_connection_wait,None,Imminent,True,P2,P2,False,False,0,"Impact=None (P4), Urgency=Imminent (ttf=0.0s, conf=0.95, gate=PASS) -> candidate=P2, revised=P2"
ep_00032_QUEUE_BACKUP,QUEUE_BACKUP,238.0,P4,1.0,0.0,thread_pool_queue,None,Imminent,True,P2,P2,False,False,0,"Impact=None (P4), Urgency=Imminent (ttf=0.0s, conf=1.00, gate=PASS) -> candidate=P2, revised=P2"
ep_00034_RETRY_STORM,RETRY_STORM,238.0,P4,0.9877,0.0,rps,None,Imminent,True,P2,P2,False,False,0,"Impact=None (P4), Urgency=Imminent (ttf=0.0s, conf=0.99, gate=PASS) -> candidate=P2, revised=P2"
ep_00036_CASCADING_FAILURE,CASCADING_FAILURE,238.0,P4,1.0,0.0,p99_latency,None,Imminent,True,P2,P2,False,False,0,"Impact=None (P4), Urgency=Imminent (ttf=0.0s, conf=1.00, gate=PASS) -> candidate=P2, revised=P2"
ep_00037_CACHE_STAMPEDE,CACHE_STAMPEDE,238.0,P4,1.0,6532.15,db_p99,None,Distant,True,P4,P4,False,False,0,"Impact=None (P4), Urgency=Distant (ttf=6532.15s, conf=1.00, gate=PASS) -> candidate=P4, revised=P4"
ep_00038_RETRY_STORM,RETRY_STORM,238.0,P4,0.9899,0.0,rps,None,Imminent,True,P2,P2,False,False,0,"Impact=None (P4), Urgency=Imminent (ttf=0.0s, conf=0.99, gate=PASS) -> candidate=P2, revised=P2"
ep_00039_DB_SLOWDOWN,DB_SLOWDOWN,238.0,P4,0.7898,0.0,db_connection_wait,None,Imminent,True,P2,P2,False,False,0,"Impact=None (P4), Urgency=Imminent (ttf=0.0s, conf=0.79, gate=PASS) -> candidate=P2, revised=P2"
ep_00040_CASCADING_FAILURE,CASCADING_FAILURE,238.0,P4,1.0,0.0,p99_latency,None,Imminent,True,P2,P2,False,False,0,"Impact=None (P4), Urgency=Imminent (ttf=0.0s, conf=1.00, gate=PASS) -> candidate=P2, revised=P2"
ep_00041_LATENCY_SPIKE,LATENCY_SPIKE,238.0,P4,0.3996,1230.78,p95_latency,None,Distant,False,P4,P4,False,False,0,"Impact=None (P4), Urgency=Distant (ttf=1230.78s, conf=0.40, gate=FAIL) -> candidate=P4, revised=P4"
ep_00042_BAD_DEPLOY,BAD_DEPLOY,238.0,P4,1.0,0.0,error_rate,None,Imminent,True,P2,P2,False,False,0,"Impact=None (P4), Urgency=Imminent (ttf=0.0s, conf=1.00, gate=PASS) -> candidate=P2, revised=P2"
ep_00043_ERROR_STORM,ERROR_STORM,238.0,P4,0.8784,,,None,Distant,True,P4,P4,False,False,0,"Impact=None (P4), Urgency=Distant (ttf=nans, conf=0.88, gate=PASS) -> candidate=P4, revised=P4"
